partNumber,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts
100UF_35V_ALE,100 uF 160V 20% RAD ALUM,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,
100UF_35V_ALE,100uF 50V A/E,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,
SBD_40V_200MA,Gen Purp 75V 200mA SOD323,diode,,SOD-523/0603,,250,,SBD_40V_200MA,SOD-523/0603,,
47UF_25V_RAD,47uF 400V Electrolytic Cap,capacitor,47UF,UVR1E470MDD,,250,,47UF_25V_RAD,UVR1E470MDD,,
PIC24FJ64GA306,PIC24FJ64GA306-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,
47UF_25V_RAD,47uF 50V 6.3mm Alum Elec,capacitor,47UF,UVR1E470MDD,,250,,47UF_25V_RAD,UVR1E470MDD,,
680^_2512,680^ 1% 2W 2512,resistor,680^,2512,,250,,680^_2512,RESC6332X71,,
3.3K_0603,3.3K 5% 0.25W,resistor,3.3K,RESC1608X60,,100,,3.3K_0603,RESC1608X60,,
53.6K_0603,53.6K 1% 1/10W 0603,resistor,53.6K,0603,,100,,53.6K_0603,RESC1608X60,,
86.6K_0805,RES 86.6k 1% 1/8W 0805,resistor,86.6K,0805,,500,,86.6K_0805,RESC2012X65,,
RP2040,ARM Cortex M0+ 32B RP2040,ic,,QFN40P700X700X90-57N,,100,,RP2040,QFN40P700X700X90-57N,,
1UF_0603,1uF Ceramic 16V 0603,capacitor,1UF,0603,,1000,,1UF_0603,CAPC1608X85,,
10UF_1206_10%_25V,10uF 35V 10% 2312 Tantalum,capacitor,10UF,CAPC3216X135,,1000,,10UF_1206_10%_25V,CAPC3216X135,,
DUAL_50V_100MA,LED Drvr 100mA shift register,ic,,SOT23-DOUBLEANODE,,250,,DUAL_50V_100MA,SOT23-DOUBLEANODE,,
2.2K_0805,2.2K 1/4W 1% 0805,resistor,2.2K,0805,,1000,,2.2K_0805,RESC2012X65,,
22K_AXIAL,22K  5%  3W Metal Oxide,resistor,22K,SFR16S,,100,,22K_AXIAL,SFR16S,,
4.7K_0603,4.7K 1% 1/10W 0603,resistor,4.7K,0603,,250,,4.7K_0603,RESC1608X60,,
100PF_0603,"100pF 50V 1% 0603 C0G, NP0",capacitor,100PF,0603,,100,,100PF_0603,CAPC1608X85,,
2.2UF_0805_10%_50V,2.2uF 50V X5R 0805,capacitor,2.2UF,0805,,100,,2.2UF_0805_10%_50V,CAPC2012X110,,
10^_0603,10^ 1% .4W 0805,resistor,10^,0805,,100,,10^_0603,RESC1608X60,,
2^_0603,2^ 1/4W 1% 1206,resistor,2^,1206,,100,,2^_0603,RESC1608X60,,
1M_AXIAL,1M 1% 0.25W AXIAL LF,resistor,1M,AXIAL,,100,,1M_AXIAL,SFR16S,,
220K_0805,220K 3W 5% Metal Film,resistor,220K,RESC2012X65,,100,,220K_0805,RESC2012X65,,
1UF_0805_20%,CAP 1UF 16V CERAMIC X7R 0805,capacitor,1UF,0805,,100,,1UF_0805_20%,CAPC2012X110,,
30K_0603,30k 1% 2W 2512,resistor,30K,2512,,100,,30K_0603,RESC1608X60,,
3.6^_2512,3.6^ 1% 1/2W 1206,resistor,3.6^,1206,,250,,3.6^_2512,RESC6332X71,,
10^_0603,RES 10R 1/2W 1% 1206,resistor,10^,1206,,100,,10^_0603,RESC1608X60,,
VREG_SOT23-5,MOSFET N CH 20V LOW VG SOT23,transistor,,SOT23-5,,500,,VREG_SOT23-5,SOT23-5,,
22UF_1206_10V,22UF 6.3V ALE,capacitor,22UF,WCAP-CSMH_1206_H1.6_R,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,
15K_0805_0.1%,15K 0.1% 1/8W 0805,resistor,15K,0805,,100,,15K_0805_0.1%,RESC2012X65,,
GP_1000V_1A_SOD-123F,DIODE SCHOTTKY 20V 0.5A SOD123,diode,,SOD-123F,,100,,GP_1000V_1A_SOD-123F,SOD-123F,,
LCD0017,12x2 Character display,other,,LCD0017,,100,,LCD0017,LCD0017,,
1000PF_0603,1000pF 5% 100V X7R 0603,capacitor,1000PF,0603,,100,,1000PF_0603,CAPC1608X85,,
10UF_1206_10%_25V,10uF 35V ALE AXIAL LF,capacitor,10UF,AXIAL,,100,,10UF_1206_10%_25V,CAPC3216X135,,
47UF_25V_RAD,CAP 47UF 16V 20% RADIAL A/E,capacitor,47UF,UVR1E470MDD,,100,,47UF_25V_RAD,UVR1E470MDD,,
PIC18F46K22-I/PT,PIC18F46K22-I/PT,ic,,FLASH_44TQFP,,100,,PIC18F46K22-I/PT,FLASH_44TQFP,,
VREG_SOT23-5,Temperature Sens Linear SOT23,ic,,SOT23-5,,100,,VREG_SOT23-5,SOT23-5,,
100PF_50V_AXIAL,100PF 50V AXIAL CERAMIC,capacitor,100PF,AXIAL,,100,,100PF_50V_AXIAL,C410,,
680^_2512,0^ 1W 2512,resistor,0^,2512,,250,,680^_2512,RESC6332X71,,
24AA02E48T-I/OT,24AA02E48 256B EEP w/ MAC ADDR,ic,,SOT-23-5,,100,,24AA02E48T-I/OT,SOT-23-5,,
15K_0805_0.1%,15K 1% 1/4W AXIAL LF,resistor,15K,AXIAL,,250,,15K_0805_0.1%,RESC2012X65,,
74HC238,"IC, 74HC240N, 20 PIN DIP",ic,,DIL16-LARDO,,100,,74HC238,DIL16-LARDO,,
LED_RED_0805,FYS-8019AUR-11 (Red),led,RED,LEDC2012X110N_B,,250,,LED_RED_0805,LEDC2012X110N_B,,
LED_RED_0805,FYS-8017CUR-11 (Red),led,RED,LEDC2012X110N_B,,250,,LED_RED_0805,LEDC2012X110N_B,,
12PF_0603,12pF 50V NPO 0402,capacitor,12PF,0402,,250,,12PF_0603,CAPC1608X85,,
220^_0603,220^ 1/10W 1% 0603,resistor,220^,0603,,100,,220^_0603,RESC1608X60,,
4.7UF_0805,Capacitor Ceramic 4.7uF 0603,capacitor,4.7UF,0603,,250,,4.7UF_0805,CAPC2012X110,,
1K_0603,"RES 1K OHM,1WATT5%**SEE OBS**",resistor,1K,RESC1608X60,,500,,1K_0603,RESC1608X60,,
1M_0603_1%,1M^ 1% 1/10W 0603,resistor,1M,0603,,100,,1M_0603_1%,RESC1608X60,,
75K_0603,75K 1% 1/10W 0603,resistor,75K,0603,,100,,75K_0603,RESC1608X60,,
7.15K_0805_0.1%,7.15K 0.1% 1/8W 0805,resistor,7.15K,0805,,100,,7.15K_0805_0.1%,RESC2012X65,,
220K_0805,220K 1% 1/8W 0805,resistor,220K,0805,,100,,220K_0805,RESC2012X65,,
470UF_35V_RAD,CAP 470uF 50V Radial ALE,capacitor,470UF,WCAP-ATG5_10X16(DXL),,100,,470UF_35V_RAD,WCAP-ATG5_10X16(DXL),,
PIC24FJ64GA306,PIC24FJ128GB106-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,
120^_0805,120^ 1/8W 1% 0805,resistor,120^,0805,,100,,120^_0805,RESC2012X65,,
165^_1206,165^ 1% 1/4W 0805,resistor,165^,0805,,100,,165^_1206,RESC3216X70,,
75^_0805,75^ 1% 3W 2512,resistor,75^,2512,,100,,75^_0805,RESC2012X65,,
PIC24FJ64GA306,PIC24FJ256GB106-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,
1000UF_50V_RAD,1000uF 35V Rad ALE,capacitor,1000UF,RADIAL0.4_POL,,100,,1000UF_50V_RAD,RADIAL0.4_POL,,
SN74HCT08DRE4,SN74HCT00N,ic,,IC_14-SOIC,,100,,SN74HCT08DRE4,IC_14-SOIC,,
15K_0805_0.1%,15k 1/8W 1% 0805,resistor,15K,0805,,100,,15K_0805_0.1%,RESC2012X65,,
220^_0805,RES 220^ 5% 0.50W,resistor,220^,RESC2012X65,,100,,220^_0805,RESC2012X65,,
0.3^_0805,RES 0.3R 1% 1/4W 0805,resistor,0.3^,0805,,100,,0.3^_0805,RESC2012X65,,
10UF_1206_10%_25V,10uF 16V Tantalum LESR 3216,capacitor,10UF,CAPC3216X135,,100,,10UF_1206_10%_25V,CAPC3216X135,,
1UF_0603,.1uF 25V X7R 1206,capacitor,1UF,1206,,500,,1UF_0603,CAPC1608X85,,
"74HC164D,653",74HC161N  COUNTER 44MHZ DIP 16,ic,,SOIC127P600X175-14N,,100,,"74HC164D,653",SOIC127P600X175-14N,,
ATMEGA328P-32,ATMEGA328PB-AUR,ic,,VQFN32,,100,,ATMEGA328P-32,VQFN32,,
TCST1103,TCST1103,ic,,TCST1103,,250,,TCST1103,TCST1103,,
LED_RED_0805,Red 2V 20mA 54mcd 0603,led,RED,0603,,100,,LED_RED_0805,LEDC2012X110N_B,,
20K_AXIAL,20K 1% 0.25W,resistor,20K,SFR16S,,100,,20K_AXIAL,SFR16S,,
22UF_0805,22uF 35V 20% 0805,capacitor,22UF,0805,,250,,22UF_0805,CAPC2012X110,,
100UF_35V_ALE,100uF 10V 20% Aluminum,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,
SBD_20V_500MA,Schottky 40V 500mA SOD123,diode,,SODFL3718X115,,100,,SBD_20V_500MA,SODFL3718X115,,
VREG_SOT23-5,LED Drvr Regulator PWM SOT23-5,ic,,SOT23-5,,100,,VREG_SOT23-5,SOT23-5,,
SBD_40V_200MA,N-CH GET 50V 200mA 3.5SO SOT23,transistor,,SOD-523/0603,,100,,SBD_40V_200MA,SOD-523/0603,,
1N5819HW-7-F,1N5819,diode,,SODFL3718X115,,100,,1N5819HW-7-F,SODFL3718X115,,
22UF_1206_10V,CAP ALE 22uF 16V 5mm,capacitor,22UF,WCAP-CSMH_1206_H1.6_R,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,
1000PF_0603,1000pF 16V X7R 0402,capacitor,1000PF,0402,,100,,1000PF_0603,CAPC1608X85,,
1PF_0402,1pF 50V NPO 0402,capacitor,1PF,0402,,100,,1PF_0402,RESC1005X40,,
2200PF_0603,2200pF 50V X7R 0402,capacitor,2200PF,0402,,100,,2200PF_0603,CAPC1608X85,,
GP_1000V_1A_SOD-123F,DIODE SCHOTTKY 30V 2A SOD123,diode,,SOD-123F,,100,,GP_1000V_1A_SOD-123F,SOD-123F,,
LED_RED_0805,Red 0603,led,RED,0603,,100,,LED_RED_0805,LEDC2012X110N_B,,
680^_2512,680^ 5% 0.25W AXIAL LF,resistor,680^,AXIAL,,100,,680^_2512,RESC6332X71,,
SN74HC574N,SN74HC574N,ic,,DIL20-LARDO,,100,,SN74HC574N,DIL20-LARDO,,
62^_AXIAL,62^ 5% 0.25W,resistor,62^,SFR16S,,250,,62^_AXIAL,SFR16S,,
100K_0603,100K 1% 0 25W M,resistor,100K,RESC1608X60,,100,,100K_0603,RESC1608X60,,
9.09K_0805,9.09K 1% 1/10W 0603,resistor,9.09K,0603,,100,,9.09K_0805,RESC2012X65,,
75^_0805,75^ 1% 1/10W 0603,resistor,75^,0603,,100,,75^_0805,RESC2012X65,,
10M_0805_1%,10M 5% 0.25W AXIAL LF,resistor,10M,AXIAL,,100,,10M_0805_1%,RESC2012X65,,
VREG_SOT23-5,DIODE SWITCHING 75V .2A SOT23,diode,,SOT23-5,,100,,VREG_SOT23-5,SOT23-5,,
LED_RED_0805,LED IND 5MM RED/GRN WHT DIFF,led,RED,LEDC2012X110N_B,,100,,LED_RED_0805,LEDC2012X110N_B,,
VREG_SOT23-5,Transistor NPN 65V .1A SOT23,transistor,,SOT23-5,,100,,VREG_SOT23-5,SOT23-5,,
10UF_1206_10%_25V,10uF 25V X5R 10% 1206,capacitor,10UF,1206,,100,,10UF_1206_10%_25V,CAPC3216X135,,
PCF85063ATT/AJ,PCF85063ATT/AJ,ic,,TSSOP8,,100,,PCF85063ATT/AJ,TSSOP8,,
SBD_40V_200MA,Schottky 30V 200mA SC-79,diode,,SOD-523/0603,,100,,SBD_40V_200MA,SOD-523/0603,,
22K_AXIAL,22K 1% 1/10W 0603,resistor,22K,0603,,100,,22K_AXIAL,SFR16S,,
100UF_35V_ALE,ALUM 100UF 63V 20% RADIAL,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,
0.01UF_1210_500V,Capacitor Ceramic 0.01uF 0603,capacitor,0.01UF,0603,,100,,0.01UF_1210_500V,CAPC3225X135,,
VREG_SOT23-5,IC LiPo Charge Mgmt SOT23-5,ic,,SOT23-5,,100,,VREG_SOT23-5,SOT23-5,,
1K_1206,1K 1% 1/4W 1206,resistor,1K,1206,,250,,1K_1206,RESC3216X70,,
150PF_0805,150pF 50V X7R 0603,capacitor,150PF,0603,,100,,150PF_0805,CAPC2012X110,,
330PF_0805,330pF 50V X7R 0603,capacitor,330PF,0603,,100,,330PF_0805,CAPC2012X110,,
23.2K_0805,23.2K 1% 0.25W,resistor,23.2K,RESC2012X65,,100,,23.2K_0805,RESC2012X65,,
4.02K_0603,4.02K 1/8W 1% 0805 SMD,resistor,4.02K,0805,,100,,4.02K_0603,RESC1608X60,,
0.03^_2512,RES 3R 1W 5% 2512,resistor,3^,2512,,100,,0.03^_2512,RESC6332X71,,
LED_RED_0805,"Cree RED, no standoff",led,RED,LEDC2012X110N_B,,100,,LED_RED_0805,LEDC2012X110N_B,,
3.3K_0805_1%,RES 3.3k 1/8W 5% 0805,resistor,3.3K,0805,,100,,3.3K_0805_1%,RESC2012X65,,
23.2K_0805,23.2K 1% 1/8W 0805,resistor,23.2K,0805,,100,,23.2K_0805,RESC2012X65,,
CD74HCT14E,CD74HCT151E,ic,,DIL14-LARDO,,100,,CD74HCT14E,DIL14-LARDO,,
"74HCT4094D,112","74HCT163N,652",ic,,16-SOIC,,100,,"74HCT4094D,112",16-SOIC,,
L,PALCE16V8-15   PAL16R4,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
L,PALCE16V8-15    PAL16L8,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
8.2K_0603,8.2K 1% 1/10W 0603,resistor,8.2K,0603,,100,,8.2K_0603,RESC1608X60,,
LED_RED_0805,LED LO-PROFILE RED WTR CLEAR,led,RED,LEDC2012X110N_B,,100,,LED_RED_0805,LEDC2012X110N_B,,
100UF_35V_ALE,100uF 10V Tantalum LESR 6032,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,
L,SOLOMON SYSTECH SSD1926QL9,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
PIC24FJ64GA306,IC PIC24FJ256GB110-I/PF,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,
L,LM2704MF-ADJ/NOPB,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
L,ISL6292-2CR5Z-T LIPO CHARGER,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
1.62K_0805_0.1%,1.62K 1% 0.25W,resistor,1.62K,RESC2012X65,,100,,1.62K_0805_0.1%,RESC2012X65,,
220^_0805,RES 20R 1/8W 5% 0805,resistor,20^,0805,,100,,220^_0805,RESC2012X65,,
GP_1000V_1A_SOD-123F,Schottky 40V 2A SOD123F,diode,,SOD-123F,,100,,GP_1000V_1A_SOD-123F,SOD-123F,,
9.09K_0805,9.09K 1/8W 1% 0805,resistor,9.09K,0805,,100,,9.09K_0805,RESC2012X65,,
100K_0603,100K 1% 1/16W 0402,resistor,100K,0402,,100,,100K_0603,RESC1608X60,,
47UF_25V_RAD,47UF 50V ELECT FK,capacitor,47UF,UVR1E470MDD,,100,,47UF_25V_RAD,UVR1E470MDD,,
PIC18F24J10-I/SS,PIC18F24J10-I/SS-ND,ic,,FLASH_28-SSOP,,100,,PIC18F24J10-I/SS,FLASH_28-SSOP,,
47K_0603,RES 47k 1/8W 5% 0805,resistor,47K,0805,,100,,47K_0603,RESC1608X60,,
ATMEGA328-AUR,ATMEGA128-16AU MCU LF,ic,,FLASH_32-TQFP,,100,,ATMEGA328-AUR,FLASH_32-TQFP,,
L,EL1883ISZ (tube),ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
200^_0603,"200^ 5% 1/4"" AX",resistor,200^,RESC1608X60,,100,,200^_0603,RESC1608X60,,
10K_0603,RES 10K 2% 0.75W SIP,resistor,10K,RESC1608X60,,100,,10K_0603,RESC1608X60,,
2K_AXIAL,2K 1% 0.25W AXL,resistor,2K,SFR16S,,100,,2K_AXIAL,SFR16S,,
10^_0603,"10^, 5%, 5W",resistor,10^,RESC1608X60,,100,,10^_0603,RESC1608X60,,
680^_2512,680^ 5% 0.50W AXIAL LF,resistor,680^,AXIAL,,100,,680^_2512,RESC6332X71,,
0.1UF_0603_10%_16V,0.1uF 5% 630VDC Radial,capacitor,0.1UF,CAPC1608X85,,100,,0.1UF_0603_10%_16V,CAPC1608X85,,
47UF_25V_RAD,.47uF 25V X7R 0805,capacitor,47UF,0805,,100,,47UF_25V_RAD,UVR1E470MDD,,
L,Gen Purp 1.5A 600V DO204AL,diode,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
GP_1000V_1A_SOD-123F,SCHOTTKY 40V 1A SOD123,diode,,SOD-123F,,100,,GP_1000V_1A_SOD-123F,SOD-123F,,
10K_0603,10K 1% 1/4W 1206,resistor,10K,1206,,100,,10K_0603,RESC1608X60,,
22UF_1206_10V,CAP TANT 22uF 25V 10% CASE D,capacitor,22UF,WCAP-CSMH_1206_H1.6_R,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,
10UF_1206_10%_25V,CAP TANT 10uF 10V 10% CASE B,capacitor,10UF,CAPC3216X135,,100,,10UF_1206_10%_25V,CAPC3216X135,,
150^_0603,RES 150R 1W 5% 2512,resistor,150^,2512,,100,,150^_0603,RESC1608X60,,
6.8K_AXIAL,6.8K 5% 0.25W AXIAL LF,resistor,6.8K,AXIAL,,100,,6.8K_AXIAL,SFR16S,,
4.7K_0603,RES 4.7K 1W 5%metfilm SEE OBS.,resistor,4.7K,RESC1608X60,,100,,4.7K_0603,RESC1608X60,,
1UF_0603,CAP Ceramic 1uF 50V 1206,capacitor,1UF,1206,,100,,1UF_0603,CAPC1608X85,,
5.2K_0805,5.2K 1/8W 1% 0805***OBS****,resistor,5.2K,0805,,100,,5.2K_0805,RESC2012X65,,
30^_1206,30^ 3/4W 1% 1206,resistor,30^,1206,,100,,30^_1206,RESC3216X70,,
22UF_1206_10V,CAP TANT 22uF 10V 10% CASE C,capacitor,22UF,WCAP-CSMH_1206_H1.6_R,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,
10^_0603,RES 10R 1W 5% 2512,resistor,10^,2512,,100,,10^_0603,RESC1608X60,,
4.7UF_0805,4.7 uf 50V 20% radial cap,capacitor,4.7UF,CAPC2012X110,,100,,4.7UF_0805,CAPC2012X110,,
4.7K_0603,RES 4.7K 2% SIP 8pin 7res,resistor,4.7K,RESC1608X60,,100,,4.7K_0603,RESC1608X60,,
15K_0805_0.1%,15K^  1%  0.25W,resistor,15K,RESC2012X65,,100,,15K_0805_0.1%,RESC2012X65,,
ATMEGA328-AUR,IC ATMEGA48V-10PU 28PDIP,ic,,FLASH_32-TQFP,,100,,ATMEGA328-AUR,FLASH_32-TQFP,,
PIC16F1513-I-SO,PIC16F690-I/SS,ic,,MICROCHIP_PIC16F1513-I-SO_2,,100,,PIC16F1513-I-SO,MICROCHIP_PIC16F1513-I-SO_2,,
L,LM4040DEM3-5.0/NOPB,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
8.2K_0603,2K 1% 1/10W 0603,resistor,2K,0603,,100,,8.2K_0603,RESC1608X60,,
220UF_16V,220uF 20% 63V Radial,capacitor,220UF,CAPAE660X800N,,100,,220UF_16V,CAPAE660X800N,,
4.7UF_0805,4.7uF 25V X5R 0805,capacitor,4.7UF,0805,,100,,4.7UF_0805,CAPC2012X110,,
22UF_1206_10V,22uF 35V X5R 1206,capacitor,22UF,1206,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,
PIC16F1513-I-SO,IC PIC16C71-04I/P,ic,,MICROCHIP_PIC16F1513-I-SO_2,,100,,PIC16F1513-I-SO,MICROCHIP_PIC16F1513-I-SO_2,,
100K_0603,100K 1/2W Linear SPST,resistor,100K,RESC1608X60,,100,,100K_0603,RESC1608X60,,
100K_AXIAL,100K 1% 2W Axial,resistor,100K,AXIAL,,100,,100K_AXIAL,SFR16S,,
1K_AXIAL,1K 2% 2W Axial,resistor,1K,AXIAL,,100,,1K_AXIAL,SFR16S,,
15K_0805_0.1%,15K 5% 2W Axial,resistor,15K,AXIAL,,100,,15K_0805_0.1%,RESC2012X65,,
10K_AXIAL,10K 10% 7W Axial,resistor,10K,AXIAL,,100,,10K_AXIAL,SFR16S,,
15^_0603,15^ 5% 1/4W 1206,resistor,15^,1206,,100,,15^_0603,RESC1608X60,,
7.15K_0805_0.1%,7.15K 1% 1/10W 0603,resistor,7.15K,0603,,100,,7.15K_0805_0.1%,RESC2012X65,,
26.1K_0603,26.1K 1% 1/16W 0402,resistor,26.1K,0402,,100,,26.1K_0603,RESC1608X60,,
120^_0603,120^ 1% 1/10W 0603,resistor,120^,0603,,100,,120^_0603,RESC1608X60,,
0.01UF_1210_500V,CAP CER 1uF 50V 1210 X7R,capacitor,1UF,1210,,100,,0.01UF_1210_500V,CAPC3225X135,,
4.7UF_0805,CAP TANT 4.7uF 10V 10% CASE A,capacitor,4.7UF,CAPC2012X110,,100,,4.7UF_0805,CAPC2012X110,,
L,LM809M3-4.63/NOPB lf pn,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
SN74HC175DR,ICSM SN74HC14D HEX INVERTER,ic,,SOIC127P600X175-16N,,100,,SN74HC175DR,SOIC127P600X175-16N,,
33^_5W_FUSIBLE,RES 33R 2W 1% 4527,resistor,33^,AXIAL_0.8,,100,,33^_5W_FUSIBLE,AXIAL_0.8,,
120^_AXIAL,RES 120R 1W 5% 2512,resistor,120^,2512,,100,,120^_AXIAL,SFR16S,,
1.2K_0603,RES 1.2k 1W 5% 2512,resistor,1.2K,2512,,100,,1.2K_0603,RESC1608X60,,
SBD_20V_500MA,TSM PNP 60V 500mA SOT23,transistor,,SODFL3718X115,,100,,SBD_20V_500MA,SODFL3718X115,,
ATMEGA328-AUR,ATMEL ATMEGA325-16AU MicroCtrl,ic,,FLASH_32-TQFP,,100,,ATMEGA328-AUR,FLASH_32-TQFP,,
150^_0603,RES 150^ 1% 0.25W **OBS*,resistor,150^,RESC1608X60,,100,,150^_0603,RESC1608X60,,
100^_1206_1%_0.5W,100^ 1% 1/4W 1206,resistor,100^,1206,,100,,100^_1206_1%_0.5W,RESC3216X70,,
10UF_1206_10%_25V,10uF 50V X7R 1206,capacitor,10UF,1206,,100,,10UF_1206_10%_25V,CAPC3216X135,,
0.022UF_0603,.22uF 50V 10% X7R 0603,capacitor,22UF,0603,,100,,0.022UF_0603,CAPC1608X85,,
LED_RED_0805,Red LED 1.7Vf 20mA 60 deg,led,RED,LEDC2012X110N_B,,100,,LED_RED_0805,LEDC2012X110N_B,,
200^_0603,200^ 5% 1/4W 1206,resistor,200^,1206,,100,,200^_0603,RESC1608X60,,
2.2K_0805,2.2K 1% 1/10W 0603,resistor,2.2K,0603,,100,,2.2K_0805,RESC2012X65,,
10UF_1206_10%_25V,CAP AL ELEC 10uF 50V 6.3mm,capacitor,10UF,CAPC3216X135,,100,,10UF_1206_10%_25V,CAPC3216X135,,
LM339AN,IC quad compar LM339DR,ic,,DIL14-LARDO,,100,,LM339AN,DIL14-LARDO,,
1.34K_0805,"34K,.1%,1/8W,0805",resistor,34K,0805,,100,,1.34K_0805,RESC2012X65,,
2.2UF_0603,2.2uF 100V 10% X7R 1206,capacitor,2.2UF,1206,,100,,2.2UF_0603,CAPC1608X85,,
100K_0603,100K 5% 1/4W 1206,resistor,100K,1206,,100,,100K_0603,RESC1608X60,,
47PF_0603,47pF 100V C0G 5% 0603,capacitor,47PF,0603,,100,,47PF_0603,CAPC1608X85,,
L,IC Shunt Regulator LM431CIM,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
49.9^_0805,49.9^ 1% 1/10W 0603,resistor,49.9^,0603,,100,,49.9^_0805,RESC2012X65,,
